window,label,mode,status,coin,side,ts_open,ts_close,notional,potential_pp,cash_bybit_after_open,cash_okx_after_open,cash_bybit_after_close,cash_okx_after_close,cash_bybit,cash_okx,equity_bybit,equity_okx,pnl_bybit,pnl_okx,fee_bybit,fee_okx
all,frozen,fixed100,closed,ICX,short,1788566581,1788567288,100.0,0.33418596982955934,226.16098099226465,9.001059917218884,225.8450588020629,9.806188122347091,225.8450588020629,9.806188122347091,225.8450588020629,9.806188122347091,-0.21613832853026305,0.8547008547008569,0.19978386167146975,0.09957264957264958
all,frozen,fixed100,closed,LA,long,1788567451,1788581281,100.0,0.44260961636900903,225.7450588020629,9.75618812234709,227.23232967782664,8.856920615754655,227.23232967782664,8.856920615754655,227.23232967782664,8.856920615754655,1.5856851905731653,-0.8496923527688208,0.19841431480942684,0.09957515382361559
all,frozen,fixed100,closed,ICX,short,1788581281,1788588860,100.0,0.6132536649703979,227.13232967782665,8.806920615754654,227.16714749159183,9.552546858299376,227.16714749159183,9.552546858299376,227.16714749159183,9.552546858299376,0.13495276653172011,0.7952286282306069,0.2001349527665317,0.0996023856858847
all,frozen,fixed100,closed,ICX,short,1788589506,1788601954,100.0,0.26648266315460206,227.06714749159184,9.502546858299375,225.95941379959453,11.040642096394606,225.95941379959453,11.040642096394606,225.95941379959453,11.040642096394606,-1.0087424344317357,1.5873015873015799,0.1989912575655683,0.09920634920634921
all,frozen,fixed100,closed,ICX,short,1788608905,1788609601,100.0,0.20193631649017335,225.85941379959453,10.990642096394605,225.75941379959454,11.467567705347866,225.75941379959454,11.467567705347866,225.75941379959454,11.467567705347866,0.0,0.5266622778143529,0.2,0.09973666886109284
all,frozen,fixed100,closed,ICX,short,1788611796,1788613278,100.0,0.22848148345947267,225.65941379959455,11.417567705347865,227.24463647165933,10.240430528409496,227.24463647165933,10.240430528409496,227.24463647165933,10.240430528409496,1.6869095816464252,-1.1265738899933733,0.20168690958164642,0.10056328694499668
all,frozen,fixed100,closed,ICX,short,1788613634,1788636916,100.0,0.21983493566513063,227.14463647165934,10.190430528409495,219.94754580860115,17.74423052840949,219.94754580860115,17.74423052840949,219.94754580860115,17.74423052840949,-7.104194857916107,7.599999999999992,0.19289580514208388,0.09620000000000001
all,frozen,fixed100,closed,LA,long,1788652049,1788667672,100.0,0.21153442263603212,219.84754580860115,17.694230528409488,219.25062655031527,18.65992272281302,219.25062655031527,18.65992272281302,219.25062655031527,18.65992272281302,-0.4964228354504409,1.0162002945508044,0.20049642283545044,0.1005081001472754
all,frozen,fixed100,closed,ICX,short,1788673125,1788679509,100.0,0.2828641951084137,219.15062655031528,18.609922722813018,216.6288083684971,21.55942305592428,216.6288083684971,21.55942305592428,216.6288083684971,21.55942305592428,-2.4242424242424305,2.9980013324450416,0.19757575757575757,0.09850099933377748
all,frozen,fixed100,closed,ICX,short,1788686348,1788702198,100.0,0.31323437094688417,216.5288083684971,21.50942305592428,215.3860108737163,23.114281774049715,215.3860108737163,23.114281774049715,215.3860108737163,23.114281774049715,-1.0438413361169159,1.654031702274298,0.1989561586638831,0.09917298414886286
all,frozen,fixed100,closed,LA,long,1788738277,1788746595,100.0,0.21689873635768891,215.2860108737163,23.064281774049714,220.1122483558336,18.590950362776827,220.1122483558336,18.590950362776827,220.1122483558336,18.590950362776827,4.921316165951357,-4.425544183364571,0.19507868383404864,0.0977872279083177
all,frozen,fixed100,closed,ICX,short,1788767962,1788776834,100.0,0.22949094772338868,220.0122483558336,18.540950362776826,219.45538859973604,19.476291271867733,219.45538859973604,19.476291271867733,219.45538859973604,19.476291271867733,-0.4573170731707263,0.9848484848484842,0.19954268292682928,0.09950757575757577
all,frozen,fixed100,closed,ICX,short,1788780625,1788782118,100.0,0.23100699931383134,219.35538859973605,19.426291271867733,217.64903331642824,21.508254742187372,217.64903331642824,21.508254742187372,217.64903331642824,21.508254742187372,-1.6079632465543652,2.130898021308986,0.19839203675344563,0.0989345509893455
all,frozen,fixed100,closed,ICX,short,1788782887,1788785955,100.0,0.3131969466805458,217.54903331642825,21.45825474218737,218.98951134264257,20.488959183228715,218.98951134264257,20.488959183228715,218.98951134264257,20.488959183228715,1.542020046260592,-0.9188361408882106,0.2015420200462606,0.10045941807044412
all,frozen,fixed100,closed,ICX,short,1788822186,1788822883,100.0,0.2497403144836426,218.88951134264258,20.438959183228715,218.39086808645743,21.338800955380616,218.39086808645743,21.338800955380616,218.39086808645743,21.338800955380616,-0.39904229848363687,0.9493670886075974,0.19960095770151637,0.0995253164556962
all,frozen,fixed100,closed,ICX,short,1788827495,1788828267,100.0,0.24596447944641114,218.29086808645744,21.288800955380616,217.15769386211377,22.8168766651598,217.15769386211377,22.8168766651598,217.15769386211377,22.8168766651598,-1.0342084327764511,1.577287066246061,0.19896579156722355,0.09921135646687698
all,frozen,fixed100,closed,ICX,short,1788828899,1788831459,100.0,0.4130136638879776,217.05769386211378,22.7668766651598,220.05229275012013,20.355350307960745,220.05229275012013,20.355350307960745,220.05229275012013,20.355350307960745,3.0976965845909428,-2.3603461841070015,0.20309769658459093,0.1011801730920535
all,frozen,fixed100,closed,ICX,short,1788858976,1788861395,100.0,0.28144554495811464,219.95229275012014,20.305350307960744,218.936379194128,21.7505744795007,218.936379194128,21.7505744795007,218.936379194128,21.7505744795007,-0.916830386378528,1.49447693307342,0.1990831696136215,0.0992527615334633
all,frozen,fixed100,closed,ICX,long,1788871089,1788871766,100.0,0.3589823514223099,218.836379194128,21.7005744795007,216.30133645908526,24.761600969566924,216.30133645908526,24.761600969566924,216.30133645908526,24.761600969566924,-2.4326101249178205,3.112582781456953,0.2024326101249178,0.10155629139072848
all,frozen,fixed100,closed,ICX,short,1788882734,1788885302,100.0,0.24530564323067666,216.20133645908527,24.711600969566923,214.33049293830288,26.97138225753775,214.33049293830288,26.97138225753775,214.33049293830288,26.97138225753775,-1.772616136919307,2.308626974483587,0.1982273838630807,0.09884568651275821
all,frozen,fixed100,closed,ICX,short,1788886304,1788886545,100.0,0.36026200354099275,214.2304929383029,26.92138225753775,213.2818278897592,28.377252215394464,213.2818278897592,28.377252215394464,213.2818278897592,28.377252215394464,-0.8495145631068035,1.5051173991571356,0.1991504854368932,0.09924744130042143
all,frozen,fixed100,closed,ICX,short,1788894892,1788896232,100.0,0.27480262219905854,213.1818278897592,28.327252215394463,211.60135108563549,30.32693211296169,211.60135108563549,30.32693211296169,211.60135108563549,30.32693211296169,-1.4819587628866044,2.0486555697823357,0.19851804123711336,0.09897567221510885
